While the raw dataset contains 68 fields per record, 
I’ve reviewed all columns and included only those relevant to permit analysis. 
Metadata fields (e.g., :@computed_region_*) and redundant values (e.g., permit_location vs original_address1) were dropped to avoid duplication and noise. 
A full audit table is provided below.



| Original Field               | Normalized Field                          | Included? | Reason                                                         |
| `original_city`               | ✅     | `location.city`                  | Mapped to normalized schema                 |
| `original_state`              | ✅     | `location.state`                 | Mapped to normalized schema                 |
| `original_zip`                | ✅     | `location.zip`                   | Mapped to normalized schema                 |
| `permit_class`                | ✅     | `permit.class`                   | Mapped to normalized schema                 |
| `permit_class_mapped`         | ✅     | `permit.class_mapped`            | Mapped to normalized schema                 |
| `permit_location`             | ❌     |                                  | Dropped: duplicate of `original_address1`   |
| `permit_number`               | ✅     | `permit.number`                  | Mapped to normalized schema                 |
| `permit_type_desc`            | ✅     | `permit.type_description`        | Mapped to normalized schema                 |
| `permittype`                  | ✅     | `permit.type_code`               | Mapped to normalized schema                 |
| `project_id`                  | ✅     | `permit.project_id`              | Mapped to normalized schema                 |
| `status_current`              | ✅     | `permit.status.current`          | Mapped to normalized schema                 |
| `statusdate`                  | ✅     | `permit.status.date`             | Mapped to normalized schema                 |
| `tcad_id`                     | ✅     | `property.tcad_id`               | Mapped to normalized schema                 |
| `work_class`                  | ✅     | `permit.work_class`              | Mapped to normalized schema                 |



All date fields are converted to ISO format (YYYY-MM-DD)
